GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
06037101110,47,55,52.50,11.7
06037101122,27.7,12,69.77,6.4
06037101220,55.8,109,43.23,17.8
06037101221,56.1,33,68.72,14.3
06037101222,54,59,55.33,13.9
06037101300,28,25,37.34,7.8
06037101400,37,1,79.51,6.9
06037102103,20.9,8,89.97,9
06037102104,30.4,40,32.56,5
06037102105,82,0,46.01,9.4
06037102107,29,0,51.38,13.9
06037103101,35.1,0,51.91,4.1
06037103102,34.9,10,87.98,11
06037103201,48.7,40,60.58,10.3
06037103202,47,16,0.00,2.5
06037103300,27.4,0,83.72,8.5
06037103401,33.4,6,57.99,5.4
06037103402,40.9,50,27.77,8.6
06037104103,93.7,8,71.33,11.9
06037104105,96.3,110,72.25,22
06037104108,98.8,57,52.86,13.8
06037104124,65.3,70,64.68,8.9
06037104201,99.5,61,70.10,10.9
06037104203,99.3,76,75.24,21.9
06037104204,88.7,12,52.23,14.2
06037104310,98.7,41,51.91,12.3
06037104321,99.6,46,62.62,15.7
06037104322,95.6,41,87.33,7.8
06037104401,97.1,18,58.42,21.8
06037104403,98.5,0,75.31,22.7
06037104404,98.6,86,57.21,14.2
06037104500,98.3,104,77.38,33.8
06037104610,97.9,27,72.56,8.7
06037104620,95.5,52,65.96,19.6
06037104701,99.7,91,51.86,30.3
06037104703,91.2,0,49.06,17.7
06037104704,92.5,58,64.12,23.7
06037104821,95.7,44,44.59,16.4
06037104822,98.5,86,64.52,27.4
06037104823,98.6,63,89.92,22.1
06037104824,99.6,26,68.42,10.5
06037106010,81.6,5,69.27,5.2
06037106020,92.2,20,64.90,17.4
06037106111,74.1,7,0.00,4.9
06037106112,83.1,1,38.31,14.4
06037106113,88,0,72.64,3.4
06037106114,96.3,53,60.77,25
06037106403,91.6,22,60.20,8.8
06037106405,89,7,38.76,17.4
06037106406,80.3,22,54.63,3.7
06037106407,91.4,43,76.44,34.8
06037106408,96,51,60.12,29.6
06037106510,87.1,81,81.36,15.5
06037106520,95.5,47,61.85,13
06037106603,54.1,37,64.44,5.7
06037106604,95,131,61.29,12.4
06037106641,35.5,6,60.98,6.6
06037106642,34,21,84.07,8.1
06037106643,48.5,54,16.95,2.8
06037106645,44.1,33,85.71,5.2
06037106646,59.9,15,70.55,5.7
06037106648,93,11,62.72,13.5
06037106649,90,17,83.33,4.9
06037107010,94.5,16,57.94,4.4
06037107020,93.6,29,68.80,18.4
06037108101,47.4,2,10.61,3.5
06037108102,50.1,0,54.07,11.8
06037108103,43.2,27,93.07,6.3
06037108104,42.3,0,61.90,2.9
06037108202,69.1,0,74.39,3.3
06037108203,62,0,62.00,5.3
06037108204,63.9,0,43.48,2.8
06037109100,67.3,52,59.34,8.8
06037109200,63.3,16,21.85,5.5
06037109300,71.7,13,60.36,5.3
06037109400,87,50,72.91,5.4
06037109500,93.1,113,55.81,17.2
06037109601,76.8,25,59.90,7.6
06037109603,90,35,58.67,11.8
06037109604,86.1,55,56.21,10.8
06037109700,66.1,76,60.86,5.4
06037109800,64.6,51,68.07,10.1
06037111100,71.3,8,44.48,7.3
06037111201,71.3,22,37.50,8.2
06037111202,62.5,116,48.65,9
06037111204,56.5,0,22.51,2.1
06037111205,63.6,17,49.33,9.8
06037111206,50.4,0,67.65,6.2
06037111302,57.3,27,60.92,9
06037111303,49.5,0,73.51,5.5
06037111304,88.6,21,61.34,25.7
06037111401,61.9,9,62.36,3.9
06037111402,55.2,97,59.15,14.7
06037113101,38.6,11,60.77,11.9
06037113102,55.8,0,61.29,3.5
06037113211,53.2,8,44.58,7.4
06037113212,64.1,0,68.08,3.6
06037113213,63.6,5,45.08,5.5
06037113231,38.2,10,89.62,4.7
06037113232,47.7,33,53.85,8.4
06037113234,80.7,61,44.46,17.6
06037113235,50.5,0,68.72,13.1
06037113237,59.6,8,36.18,5.4
06037113238,83.7,122,65.11,11.3
06037113239,77.3,88,73.53,10
06037113301,48,97,62.26,11.4
06037113303,71.4,55,39.20,7.4
06037113322,52.4,0,53.63,12.4
06037113323,72,0,51.89,9.8
06037113324,77.3,14,30.95,5.5
06037113423,72.4,93,68.35,9.4
06037113424,70,14,78.43,7.4
06037113425,86.6,185,68.71,9.1
06037113426,70.9,14,62.09,16.7
06037113427,81.5,151,64.02,16.1
06037113428,50.9,13,80.81,9
06037115101,43.4,25,47.86,8.7
06037115103,64.3,6,35.71,37.5
06037115104,68.8,132,60.03,21.8
06037115202,73.2,126,75.45,24.7
06037115203,65.4,16,55.38,20
06037115204,64.5,49,52.39,10.7
06037115301,61.6,10,55.06,8.8
06037115302,88,128,70.87,18.1
06037115401,68,29,78.47,16.7
06037115403,78.8,51,49.18,27.9
06037115404,81.2,100,62.96,9.7
06037117101,81.9,189,68.02,11.5
06037117102,76.3,61,82.88,9.7
06037117201,85.4,255,73.15,25
06037117202,74.4,0,61.90,10.5
06037117301,69.9,0,43.88,5.5
06037117302,62.2,58,65.57,7
